area_type,availability,location,size,society,total_sqft,bath,balcony,price
3,1.0,ITPL,3 BHK,,1548,3.0,2.0,89.5
3,0.0,Horamavu Banaswadi,3 BHK,,1611,3.0,3.0,66.0
0,0.0,Electronic City Phase II,3 BHK,Sryalan,1400,2.0,1.0,40.43
3,1.0,Vidyaranyapura,3 BHK,Graceik,1485,2.0,2.0,67.0
0,1.0,Margondanahalli,2 Bedroom,,2400,2.0,1.0,82.0
3,1.0,Pattandur Agrahara,2 BHK,Shvarji,1025,2.0,1.0,44.5
2,1.0,Thurahalli,4 Bedroom,,600,3.0,2.0,65.0
3,1.0,Hallehalli,2 BHK,,1225,2.0,,53.0
0,1.0,5th Phase JP Nagar,2 BHK,,1256,2.0,1.0,62.8
3,1.0,Whitefield,4 BHK,ArsiaEx,2268,3.0,2.0,163.0
3,0.0,Kanakpura Road,3 BHK,PrarePa,1100,3.0,2.0,53.0
3,1.0,Vadarpalya,2 BHK,VMianri,1141,2.0,0.0,62.0
0,1.0,Attibele,1 BHK,Jae 1hu,400,1.0,1.0,12.0
2,1.0,Chandapura,2 Bedroom,,1400,2.0,0.0,60.0
3,1.0,Kattigenahalli,7 BHK,,4100,7.0,,140.0
2,0.0,Marathi Layout,1 Bedroom,,5.31Acres,1.0,0.0,110.0
1,1.0,Weavers Colony,1 BHK,,15,1.0,0.0,30.0
3,1.0,Raghavendra Nagar,2 BHK,,1175,2.0,2.0,48.27
3,1.0,Sahakara Nagar,2 BHK,,1100,2.0,1.0,56.0
3,1.0,Kanakpura Road,3 BHK,Puestol,1843,3.0,2.0,95.84
2,1.0,1st Phase JP Nagar,8 Bedroom,,1200,7.0,2.0,240.0
3,0.0,Horamavu Banaswadi,2 BHK,,1460,2.0,1.0,80.5
3,1.0,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.5
0,1.0,HSR Layout,2 BHK,,1467,2.0,1.0,55.0
3,1.0,KR Layout,1 BHK,,950,1.0,1.0,40.0
3,1.0,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,64.5
3,0.0,Kanakapura,1 BHK,GoityEt,711,1.0,1.0,38.0
3,1.0,Haralur Road,2 BHK,RInceeg,1194,2.0,2.0,46.0
3,1.0,Babusapalaya,3 BHK,ARngsd ,1358,2.0,1.0,43.4
1,1.0,Nagasandra,6 Bedroom,,1500,5.0,1.0,130.0
3,1.0,Hoodi,2 BHK,Goeur G,1420,2.0,2.0,75.0
3,1.0,Kathriguppe,3 BHK,,1250,2.0,1.0,68.75
0,1.0,Akshaya Nagar,2 BHK,,1280,2.0,,58.0
3,1.0,Nagappa Reddy Layout,2 BHK,Gruesaf,1209,2.0,1.0,50.0
0,1.0,Kempapura,5 Bedroom,,4200,5.0,2.0,225.0
2,1.0,BTM 1st Stage,4 Bedroom,,1215,4.0,3.0,205.0
3,1.0,Panathur,3 BHK,Saite G,1315,2.0,1.0,54.8
3,1.0,Kariyammana Agrahara,3 BHK,,1800,3.0,3.0,90.0
0,1.0,Hessarghatta,5 Bedroom,,1600,4.0,0.0,125.0
3,1.0,TC Palaya,3 BHK,RKncyha,1600,2.0,2.0,65.0
2,1.0,Binnamangala,6 Bedroom,,3968,5.0,2.0,900.0
3,1.0,Suraksha Nagar,3 BHK,AritaFe,1563,3.0,2.0,52.0
3,1.0,Whitefield,3 BHK,SRidePr,1560,2.0,2.0,72.0
3,1.0,Brookefield,3 BHK,Krrbsil,2169,4.0,,115.0
2,1.0,Lakshmi Layout,9 Bedroom,,900,10.0,,170.0
3,1.0,Rachenahalli,2 BHK,,1050,2.0,2.0,55.5
3,1.0,Iblur Village,3 BHK,Emine P,3235,3.0,1.0,235.0
2,1.0,TC Palaya,3 Bedroom,,1200,3.0,0.0,66.0
3,1.0,HSR Layout,2 BHK,NRosete,1140,2.0,2.0,46.0
2,1.0,7th Phase JP Nagar,3 Bedroom,,1500,3.0,1.0,170.0
3,1.0,Horamavu Agara,3 BHK,,1560,3.0,2.0,75.0
3,1.0,JP Nagar,2 BHK,Saowsri,1100,2.0,2.0,70.0
3,1.0,Kasavanhalli,3 BHK,,1260,2.0,3.0,40.32
3,0.0,Hebbal,2 BHK,Arcia S,1036,2.0,1.0,50.0
0,1.0,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,3.0,85.1
3,1.0,Yelachenahalli,3 BHK,PuontBe,1464,2.0,3.0,105.0
3,1.0,Yelahanka,2 BHK,NCowsar,1234,2.0,2.0,80.0
3,1.0,Sarjapur  Road,3 BHK,Arldsyo,1403,3.0,1.0,55.0
2,1.0,Kadugondanahalli,4 Bedroom,,915,4.0,1.0,54.9
2,1.0,2nd Stage Nagarbhavi,6 Bedroom,,3000,8.0,3.0,451.0
3,1.0,Seegehalli,3 BHK,,1150,2.0,2.0,42.9
0,1.0,Hebbal,4 BHK,RMudeat,3900,4.0,2.0,410.0
0,1.0,Yeshwanthpur,5 Bedroom,,850,4.0,2.0,90.0
3,0.0,Kanakapura,2 BHK,,929,2.0,1.0,46.0
2,1.0,2nd Stage Nagarbhavi,6 Bedroom,,2400,8.0,3.0,450.0
2,1.0,TC Palaya,3 Bedroom,,1350,2.0,1.0,75.0
3,1.0,Vasanthapura,2 BHK,,1135,2.0,1.0,39.73
0,1.0,Basava Nagar,2 BHK,Saarea ,1405,2.0,2.0,70.0
2,0.0,Whitefield,2 Bedroom,,1200,2.0,1.0,45.84
3,0.0,Haralur Road,4 BHK,SNnia E,2805,4.0,3.0,154.0
3,1.0,Yeshwanthpur,2 BHK,IBityin,1161,2.0,2.0,64.08
3,0.0,Kanakpura Road,2 BHK,Soena A,1290,2.0,3.0,74.0
3,1.0,Yeshwanthpur,3 BHK,IBityin,2557,3.0,2.0,141.0
0,1.0,2nd Block Hrbr Layout,3 BHK,Raaden ,1480,3.0,2.0,90.0
2,1.0,BTM 1st Stage,9 Bedroom,Srvasks,3300,14.0,,500.0
3,0.0,Old Madras Road,3 BHK,SheldGr,1350,3.0,0.0,54.54
3,1.0,Kadugodi,3 BHK,MSingco,1580,2.0,2.0,65.0
3,0.0,Banashankari,3 BHK,,1470,2.0,1.0,88.64
3,0.0,Ananth Nagar,1 BHK,,500,1.0,1.0,14.0
3,0.0,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,61.92
3,1.0,Canara Bank Layout,3 BHK,,1600,3.0,3.0,90.0
3,1.0,Naganathapura,2 BHK,,720,2.0,1.0,120.0
2,0.0,Narasapura,2 Bedroom,,30Acres,2.0,2.0,29.5
2,1.0,Manjunath Nagar,4 Bedroom,,1200,4.0,0.0,135.0
3,1.0,Basapura,2 BHK,RMncy R,1200,2.0,2.0,35.0
0,1.0,Channasandra,3 BHK,Pritehi,1340,2.0,2.0,48.33
2,1.0,Devanahalli,4 Bedroom,Soyleif,6136,4.0,,560.0
3,1.0,Jigani,2 BHK,DLhtsan,918,2.0,2.0,48.0
2,1.0,Singena Agrahara,3 Bedroom,CoiewSy,1500,3.0,2.0,115.0
3,1.0,Yelahanka,2 BHK,Velas V,1315,2.0,2.0,85.0
2,1.0,Sector 1 HSR Layout,4 Bedroom,,2400,5.0,,775.0
3,1.0,Uttarahalli,3 BHK,,1390,2.0,2.0,62.55
3,1.0,Uttarahalli,3 BHK,Aklia R,1330,2.0,1.0,56.0
0,1.0,Jalahalli,5 BHK,BrardCo,3100,4.0,,265.0
3,0.0,Mango Garden Layout,3 BHK,Ceral C,1824,3.0,3.0,125.0
3,1.0,7th Phase JP Nagar,3 BHK,Brnia G,1420,2.0,2.0,96.0
2,1.0,Kacharakanahalli,1 Bedroom,,750,1.0,0.0,56.25
3,1.0,Jalahalli East,3 BHK,ShshaSa,1260,2.0,1.0,60.0
3,0.0,Hennur Road,3 BHK,Orens G,1561,3.0,2.0,95.0
2,1.0,5th Phase JP Nagar,9 Bedroom,,812,6.0,3.0,165.0
3,1.0,"Bidere Agarahara, Behind Safal market",2 BHK,,1060,2.0,2.0,42.0
2,1.0,Hoodi,8 Bedroom,,1120,8.0,3.0,145.0
3,0.0,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,67.38
3,1.0,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,135.0
2,1.0,Kengeri,7 Bedroom,,1200,6.0,2.0,140.0
3,1.0,Electronic City,2 BHK,Itelaa ,880,2.0,2.0,29.0
3,0.0,Hoodi,3 BHK,GoAirej,1639,3.0,2.0,110.0
0,1.0,Thanisandra,3 BHK,Pronyt ,1240,2.0,1.0,62.0
3,1.0,Kanakpura Road,2 BHK,,1500,2.0,2.0,69.0
3,1.0,Haralur Road,2 BHK,RInceeg,1243,2.0,1.0,46.0
3,1.0,Marathahalli,3 BHK,Aiitya ,1575,3.0,,78.0
3,1.0,Haralur Road,2 BHK,,1027,2.0,2.0,44.0
3,1.0,Kambipura,3 BHK,Prrtht ,1082,2.0,1.0,56.0
3,1.0,Konanakunte,3 BHK,,1637,3.0,3.0,73.0
3,1.0,Kanakpura Road,3 BHK,Puestol,1665,3.0,2.0,86.58
3,0.0,Electronic City,2 BHK,GoontLa,1265,2.0,0.0,56.93
3,0.0,Electronic City,3 BHK,KonteiT,1691,2.0,2.0,102.0
3,1.0,Thanisandra,2 BHK,SLaceda,1100,2.0,1.0,38.0
0,1.0,Grihalakshmi Layout,5 Bedroom,,24,2.0,2.0,150.0
2,0.0,Gopalkrishna Nagar,3 Bedroom,,1500,3.0,2.0,62.0
0,1.0,Hosakerehalli,4 BHK,Taonte ,3205,5.0,1.0,380.0
0,1.0,Kammanahalli,5 Bedroom,,1666,4.0,1.0,150.0
3,1.0,Choodasandra,2 BHK,GRhtiru,1115,2.0,2.0,50.0
3,1.0,Mysore Road,2 BHK,Brama P,1070,2.0,1.0,45.0
3,1.0,Indira Nagar,2 BHK,Aentsbe,1128,2.0,2.0,105.0
3,1.0,Budigere,2 BHK,PrityTr,1162,2.0,1.0,57.0
3,1.0,Sai Gardens,2 BHK,Alivae ,1339,2.0,2.0,55.0
3,1.0,Mahadevpura,2 BHK,Neagar ,1192,2.0,2.0,75.0
3,1.0,Haralur Road,3 BHK,DSimaUl,1920,3.0,1.0,115.0
3,1.0,Hennur,2 BHK,Shateor,1255,2.0,1.0,52.32
3,0.0,Rajaji Nagar,2 BHK,ProdsWe,1357,2.0,1.0,115.0
3,1.0,Dodda Kempaiah Layout,3 BHK,,1600,3.0,2.0,75.0
3,1.0,Hanumanth Nagar,2 BHK,Saersel,1225,2.0,2.0,55.11
2,1.0,Whitefield,4 Bedroom,Saark H,2400,4.0,3.0,200.0
3,1.0,Kasturi Nagar,3 BHK,,1570,3.0,3.0,80.0
3,1.0,Thanisandra,2 BHK,Bhmesy ,1093,2.0,2.0,70.0
0,1.0,Basaveshwara Nagar,3 BHK,Suncy R,1865,3.0,3.0,145.0
2,1.0,R.T. Nagar,6 Bedroom,,1200,7.0,3.0,165.0
3,1.0,Kaikondrahalli,2 BHK,Srsica ,1039,2.0,2.0,80.0
3,1.0,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,64.5
3,1.0,Whitefield,3 BHK,Suent V,1985,3.0,2.0,75.0
3,1.0,Hosakerehalli,3 BHK,APncyla,1590,3.0,3.0,49.0
2,1.0,Hunasamaranahalli,4 Bedroom,EmardBo,4000,4.0,2.0,675.0
3,1.0,Electronic City Phase II,2 BHK,Assha A,775,2.0,2.0,38.0
3,1.0,RWF West Colony,2 BHK,PancyRe,1000,2.0,1.0,50.0
3,1.0,Hebbal Kempapura,3 BHK,Goateds,1800,3.0,2.0,175.0
3,0.0,Bommasandra,2 BHK,SSestth,1035,2.0,1.0,41.0
3,1.0,Dasarahalli,3 BHK,Syonyph,1520,2.0,1.0,75.0
3,1.0,Whitefield,2 BHK,BrlisCo,1360,2.0,1.0,95.0
2,1.0,Bileshivale,4 Bedroom,FeowsMe,6000,5.0,3.0,400.0
3,1.0,Kodigehaali,2 BHK,Shyas S,1117,2.0,2.0,56.0
2,1.0,KR Puram,4 Bedroom,Esnamin,1200,4.0,3.0,120.0
3,1.0,EPIP Zone,2 BHK,BrontLa,1330,2.0,1.0,92.5
3,1.0,Marathahalli,3 BHK,Prionad,1937,3.0,2.0,160.0
3,0.0,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.49
3,1.0,Neeladri Nagar,2 BHK,NatisAt,1053,2.0,1.0,45.0
3,0.0,Panathur,2 BHK,Prcesvy,1198,2.0,1.0,77.0
3,0.0,Marathahalli,2 BHK,Spows M,1152,2.0,1.0,56.0
3,0.0,1st Block Jayanagar,6 BHK,,1200,6.0,2.0,125.0
3,1.0,Frazer Town,2 BHK,Maentr ,1625,2.0,1.0,75.0
3,1.0,Kundalahalli,3 BHK,Dieldli,1397,3.0,3.0,105.0
3,1.0,Yeshwanthpur,3 BHK,Saade E,1523,3.0,3.0,170.0
3,1.0,Kambipura,2 BHK,Prrtht ,883,2.0,1.0,45.0
3,1.0,Kaggalipura,1 BHK,Baowsig,700,1.0,0.0,38.0
3,1.0,Yelahanka,2 BHK,Neite T,1170,2.0,1.0,62.5
3,1.0,Kanakpura Road,3 BHK,Shiew T,1200,2.0,2.0,42.0
0,1.0,Manayata Tech Park,3 BHK,,2400,3.0,2.0,170.0
3,1.0,Kullappa Colony,2 BHK,,1480,2.0,2.0,65.0
3,1.0,Akshaya Nagar,3 BHK,DLhtsnd,1897,3.0,2.0,120.0
3,1.0,Rachenahalli,2 BHK,,996,2.0,1.0,67.0
3,0.0,Haralur Road,3 BHK,SNnia E,1875,3.0,2.0,110.0
3,1.0,Williams Town,3 BHK,,1500,2.0,2.0,98.0
3,1.0,Jaya Nagar East,3 BHK,Maens G,3095,3.0,3.0,350.0
3,1.0,Ambalipura,3 BHK,SJarkte,1390,2.0,1.0,175.0
3,0.0,Yelahanka,3 BHK,Un 46th,1445 - 1455,3.0,0.0,65.255
3,0.0,Yelahanka,1 BHK,Prensya,697,1.0,0.0,45.0
0,1.0,Sarjapur  Road,1 BHK,Shthi S,710,1.0,1.0,27.0
1,1.0,Iggalur,2 BHK,VaoldMa,910,2.0,1.0,30.5
0,1.0,Sompura,3 BHK,Suiseit,1025,2.0,1.0,48.0
3,0.0,Magadi Road,2 BHK,Vrenty ,884 - 1116,2.0,0.0,46.5
2,1.0,Harlur,4 Bedroom,,1200,4.0,,244.0
3,0.0,Horamavu Agara,3 BHK,,1453,2.0,1.0,46.48
3,1.0,Sarjapur  Road,4 BHK,Adeatlm,3335,5.0,2.0,300.0
3,0.0,Thanisandra,2 BHK,SLityee,850 - 1093,2.0,0.0,36.435
3,1.0,Bellandur,2 BHK,,1281,2.0,1.0,74.0
0,1.0,Cooke Town,1 BHK,,565,1.0,1.0,35.0
0,1.0,Varthur,2 BHK,DSingSt,1024,2.0,2.0,42.0
0,1.0,Electronic City,3 BHK,Suashen,1620,3.0,2.0,62.0
3,1.0,Whitefield,2 BHK,SSthamh,1254,2.0,2.0,40.0
0,1.0,Banashankari,3 BHK,Skave E,1300,2.0,2.0,75.0
0,1.0,Doddakallasandra,2 BHK,,1233,2.0,2.0,43.0
2,1.0,Chokkanahalli,1 Bedroom,,1200,1.0,1.0,28.0
3,0.0,Hosur Road,3 BHK,PuendWe,1510,2.0,1.0,105.0
3,1.0,Kaggalipura,2 BHK,Baowsig,950,2.0,1.0,65.0
3,1.0,Battarahalli,3 BHK,PaontWa,1945,3.0,2.0,97.42
3,1.0,Uttarahalli,2 BHK,Shierhi,1008,2.0,3.0,45.0
3,1.0,Thanisandra,3 BHK,Bhmesy ,1265,2.0,1.0,79.0
3,0.0,Hebbal,3 BHK,Magiaya,1255,2.0,1.0,77.68
0,0.0,Kanakpura Road,4 BHK,PrityFa,2689,6.0,2.0,220.0
0,1.0,Yelenahalli,2 BHK,,1200,2.0,2.0,46.17
3,0.0,Sarjapur  Road,3 BHK,Daivon ,1403,3.0,3.0,51.63
3,1.0,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,85.0
2,1.0,Chikkaballapur,3 Bedroom,,1500,3.0,3.0,100.0
3,1.0,Chamrajpet,3 BHK,SihtsHe,1475,2.0,2.0,120.0
3,1.0,Uttarahalli,3 BHK,,1390,2.0,2.0,60.47
3,1.0,Raja Rajeshwari Nagar,3 BHK,,1278,2.0,1.0,53.76
3,1.0,VGP Layout,2 BHK,AbnceEs,1133,2.0,2.0,55.0
2,1.0,Classic Paradise Layout,5 Bedroom,,1560,5.0,1.0,145.0
2,1.0,Byappanahalli,5 Bedroom,,2900,5.0,2.0,90.0
3,1.0,Kogilu,2 BHK,,1170,2.0,1.0,51.99
2,1.0,Sahakara Nagar,3 Bedroom,,1200,3.0,3.0,200.0
3,0.0,Whitefield,3 BHK,Prtates,1697,3.0,2.0,94.79
3,1.0,Thanisandra,3 BHK,,1651,3.0,3.0,97.38
3,1.0,Vasanth nagar,3 BHK,Siace P,1560,3.0,1.0,188.0
3,0.0,Hennur Road,3 BHK,Koagati,1192,2.0,1.0,60.0
0,1.0,OMBR Layout,2 BHK,,1078,2.0,3.0,65.0
2,1.0,Kumaraswami Layout,7 Bedroom,,800,7.0,3.0,105.0
3,1.0,Kasavanhalli,2 BHK,Salisal,1349,2.0,2.0,78.0
2,1.0,Ulsoor,9 Bedroom,,2300,8.0,1.0,210.0
3,1.0,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,2.0,120.0
3,1.0,Rayasandra,3 BHK,,1314,2.0,2.0,63.0
3,1.0,Garudachar Palya,2 BHK,,1060,2.0,1.0,48.7
0,1.0,Kalyan nagar,2 BHK,SLnorMa,820,2.0,0.0,39.0
2,1.0,Whitefield,4 Bedroom,Skensk ,5000,4.0,3.0,400.0
3,1.0,BEML Layout,3 BHK,,2000,3.0,2.0,85.0
3,1.0,Kalkere,2 BHK,Sothin ,856,2.0,3.0,40.0
3,0.0,Rajaji Nagar,3 BHK,Puwerun,1621,4.0,0.0,130.0
2,0.0,ITPL,3 Bedroom,,1200,3.0,1.0,68.4
3,1.0,Bannerghatta Road,3 BHK,TGjraVa,1484,3.0,2.0,52.5
2,1.0,T.C. Palya,4 Bedroom,,600,5.0,2.0,60.0
2,1.0,Siddapura,4 Bedroom,Apavea ,14000,3.0,2.0,800.0
3,1.0,Yelahanka New Town,1 BHK,KHatsFl,500,1.0,1.0,20.0
3,1.0,Makali,1 BHK,,485,1.0,1.0,15.0
3,1.0,7th Phase JP Nagar,2 BHK,,1050,2.0,1.0,42.0
3,1.0,Uttarahalli,3 BHK,,1617,3.0,3.0,66.68
0,1.0,Electronic City,2 BHK,Itelaa ,550,1.0,1.0,16.0
0,1.0,RWF West Colony,3 BHK,PancyRe,1384,3.0,2.0,62.28
3,0.0,Devanahalli,2 BHK,,1408,2.0,2.0,85.0
0,1.0,Uttarahalli,2 BHK,Sungsha,1150,2.0,1.0,49.0
3,1.0,Akshaya Nagar,3 BHK,,1410,2.0,2.0,75.0
0,1.0,Kaggadasapura,4 BHK,Adsia F,2150,4.0,1.0,100.0
3,1.0,Koramangala,3 BHK,,2292,4.0,1.0,275.0
0,1.0,Malleshwaram,3 BHK,Maens G,2006,3.0,,297.0
0,1.0,Maragondanahalli,3 BHK,ArnzaFi,1508,3.0,2.0,70.25
0,1.0,Ramamurthy Nagar,2 BHK,Foghaa ,1040,2.0,2.0,50.0
2,1.0,TC Palaya,2 Bedroom,Lancy R,1240,2.0,1.0,60.0
3,1.0,Kudlu Gate,3 BHK,Srier P,1535,3.0,1.0,78.0
0,1.0,Lakshminarayana Pura,2 BHK,RothaVa,1180,2.0,2.0,75.0
0,1.0,Abbigere,6 Bedroom,,2200,6.0,2.0,68.0
3,1.0,Bannerghatta Road,2 BHK,SNity S,1400,2.0,2.0,78.0
3,1.0,Raja Rajeshwari Nagar,1 BHK,,500,1.0,1.0,25.0
2,1.0,Whitefield,4 Bedroom,Pronege,4800,4.0,3.0,525.0
3,1.0,Sarjapur  Road,3 BHK,Puallhi,1984,4.0,1.0,146.0
2,1.0,Whitefield,4 Bedroom,VDe 1Du,3000,5.0,3.0,250.0
3,1.0,Garudachar Palya,3 BHK,BrlisMe,1960,3.0,3.0,160.0
3,1.0,Sarjapur  Road,2 BHK,Shthi S,1035,2.0,1.0,45.0
0,1.0,Vibuthipura,4 Bedroom,,2150,4.0,1.0,80.0
0,1.0,Whitefield,3 BHK,Mithmn ,1700,3.0,2.0,115.0
3,1.0,Hosakerehalli,4 BHK,Taonte ,3024,5.0,1.0,248.0
3,0.0,Tumkur Road,3 BHK,Sapus S,1586,3.0,1.0,100.0
0,0.0,Hennur,3 Bedroom,Asoilul,2264,,,155.0
2,1.0,Chikka Tirupathi,4 Bedroom,Theanmp,2325,4.0,1.0,120.0
3,1.0,Yelahanka,2 BHK,Rarthne,1120,2.0,2.0,55.0
3,0.0,Yelahanka,3 BHK,Shalkri,1440 - 1884,,,67.98
3,1.0,Sarjapur  Road,2 BHK,CharkGr,1128,2.0,2.0,59.0
2,1.0,5th Block Hbr Layout,6 Bedroom,,1200,6.0,2.0,250.0
3,1.0,Jigani,2 BHK,DLhtsan,924,2.0,2.0,65.0
3,1.0,Suraksha Nagar,3 BHK,AritaFe,1600,3.0,2.0,52.0
3,1.0,Pai Layout,2 BHK,,1006,2.0,2.0,35.0
3,1.0,Amruthahalli,2 BHK,Srncy R,1200,2.0,2.0,55.0
3,0.0,Jalahalli West,2 BHK,,1250,2.0,1.0,62.0
2,1.0,Defence Layout,3 Bedroom,,1200,3.0,1.0,130.0
0,1.0,Kannamangala,2 BHK,VBownre,957,2.0,1.0,56.0
3,1.0,Whitefield,2 BHK,SSthamh,1140,2.0,2.0,41.0
3,1.0,Roopena Agrahara,2 BHK,RortsCo,1050,2.0,1.0,67.0
3,1.0,Kasturi Nagar,3 BHK,,1565,3.0,2.0,88.5
3,1.0,Whitefield,2 BHK,GClmsun,1190,2.0,3.0,57.0
0,0.0,Whitefield,3 Bedroom,,2842,3.0,2.0,162.0
0,1.0,Kanakpura Road,3 BHK,SoapeSu,1558.67,2.0,2.0,65.0
3,1.0,Electronics City Phase 1,1 BHK,,630,1.0,1.0,39.0
3,1.0,Whitefield,3 BHK,Iseenst,1403,2.0,2.0,60.81
3,1.0,Kanakpura Road,3 BHK,SLourle,1542,2.0,3.0,85.0
0,1.0,Haralur Road,4 Bedroom,IDlleri,2750,4.0,0.0,220.0
3,1.0,Iblur Village,4 BHK,Emine P,3596,5.0,1.0,290.0
3,1.0,Kengeri Satellite Town,3 BHK,,1635,2.0,,78.0
3,1.0,Mysore Road,2 BHK,,1239,2.0,1.0,53.0
3,1.0,Haralur Road,2 BHK,,1194,2.0,2.0,47.0
3,1.0,Dooravani Nagar,3 BHK,Puceswn,1596,3.0,1.0,105.0
3,0.0,Channasandra,2 BHK,Unm 2El,1009,2.0,1.0,38.34
3,0.0,Hosa Road,3 BHK,Mahesr ,1726,3.0,2.0,81.99
3,1.0,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,86.0
3,1.0,Banashankari Stage V,3 BHK,,1300,2.0,1.0,58.5
2,1.0,Whitefield,4 Bedroom,Adowslm,3100,4.0,2.0,465.0
3,1.0,Coconut Garden,3 BHK,,1800,3.0,3.0,80.0
3,0.0,Binny Pete,1 BHK,Shestlo,665,1.0,0.0,50.75
2,1.0,Chamrajpet,9 Bedroom,,4050,7.0,1.0,1200.0
2,1.0,TC Palaya,3 Bedroom,,1500,2.0,1.0,100.0
0,1.0,Kalkere,2 BHK,Sothin ,925,2.0,2.0,48.0
3,0.0,Old Airport Road,4 BHK,Jaades ,3356,4.0,,251.0
3,1.0,Gollahalli,2 BHK,ArzzaRe,1395,2.0,1.0,63.59
3,1.0,Sonnenahalli,3 BHK,DSgam S,1415,2.0,1.0,55.0
3,1.0,Begur,3 BHK,Arera V,1419,2.0,2.0,59.0
3,0.0,Kasavanhalli,2 BHK,Brersge,1121,2.0,2.0,78.0
3,1.0,Kambipura,3 BHK,,1082,2.0,1.0,45.0
3,0.0,KR Puram,2 BHK,MCnexva,1100,2.0,1.0,47.0
3,1.0,Hoodi,3 BHK,Keers S,1606,3.0,3.0,89.55
0,1.0,Billekahalli,3 BHK,,1650,3.0,2.0,88.0
3,1.0,D Souza Layout,3 BHK,Niateki,4634,4.0,3.0,1015.0
3,1.0,Old Airport Road,2 BHK,Vadel C,1206,2.0,3.0,75.0
0,1.0,Sarjapur  Road,3 BHK,HIideSu,1495,2.0,0.0,64.0
2,1.0,Malleshwaram,8 Bedroom,,840,7.0,2.0,195.0
3,1.0,Electronic City,2 BHK,Itelaa ,710,2.0,2.0,16.0
3,1.0,Balagere,2 BHK,,1210,2.0,1.0,72.0
3,1.0,Nagarbhavi,3 BHK,DSesthr,1523,2.0,2.0,53.4
3,1.0,Whitefield,2 BHK,Krine C,1232,2.0,2.0,45.0
3,0.0,Rachenahalli,1 BHK,AsNowre,680,1.0,1.0,44.0
3,0.0,Hebbal,3 BHK,Magiaya,1355,3.0,1.0,83.87
3,1.0,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,51.46
3,0.0,Kothannur,3 BHK,,1275,2.0,2.0,43.85
3,1.0,Electronic City,2 BHK,GMown E,1070,2.0,1.0,56.1
2,1.0,Bettahalsoor,3 Bedroom,,1200,3.0,1.0,85.0
2,1.0,Electronic City,4 Bedroom,,2000,4.0,0.0,120.0
3,1.0,Bommanahalli,2 BHK,,1200,2.0,2.0,40.0
3,1.0,Marathahalli,3 BHK,SatatHa,1610,3.0,1.0,90.0
3,1.0,Haralur Road,2 BHK,RInceeg,1140,2.0,2.0,43.0
3,1.0,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1143,2.0,2.0,38.65
3,0.0,Jakkur,4 BHK,SoineC ,3467.86,6.0,3.0,249.0
3,1.0,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.4
3,1.0,7th Phase JP Nagar,2 BHK,Brnia G,980,2.0,2.0,69.0
3,1.0,Whitefield,3 BHK,ChodsGr,1485,3.0,2.0,65.0
2,0.0,Whitefield,3 Bedroom,WoarkEm,1500,3.0,1.0,130.0
3,0.0,Whitefield,2 BHK,Umods W,1280,2.0,1.0,75.0
3,1.0,Thanisandra,2 BHK,Bhmesy ,1265,2.0,2.0,85.0
0,0.0,"ECC Road, Whitefield, ",2 BHK,,1132,2.0,1.0,67.0
3,1.0,Ashwath Nagar,2 BHK,SJcerpe,1262,2.0,2.0,63.0
3,1.0,JP Nagar,2 BHK,Maentor,940,2.0,1.0,49.0
3,1.0,Seetharampalya,3 BHK,,1515,3.0,3.0,88.0
3,1.0,Jigani,3 BHK,DLhtsan,1300,3.0,3.0,150.0
0,1.0,Kothanur,3 Bedroom,,1840,3.0,1.0,69.0
0,1.0,Electronic City,2 BHK,Itvir M,890,2.0,2.0,45.0
3,1.0,Rukmaiah Layout,3 BHK,,1655,3.0,2.0,86.06
3,1.0,Hennur Road,3 BHK,SaireSa,2060,3.0,1.0,149.0
3,1.0,Bommanahalli,3 BHK,SNeur G,1730,3.0,1.0,96.0
0,1.0,Yelahanka,3 BHK,Leilo E,2195,4.0,2.0,127.0
3,0.0,Kathriguppe,3 BHK,,1650,3.0,2.0,125.0
2,1.0,KR Puram,2 Bedroom,,1200,2.0,0.0,71.0
3,0.0,Hosa Road,2 BHK,,1079,2.0,1.0,32.37
3,0.0,Panathur,2 BHK,Caiya D,1085,2.0,1.0,36.0
0,1.0,Maruthi Sevanagar,7 Bedroom,,5000,7.0,,299.0
3,1.0,Yelahanka,2 BHK,,1075,2.0,1.0,51.5
3,0.0,Devanahalli Int. Airport,2 BHK,,1380,2.0,1.0,80.0
3,1.0,Puttanahalli,3 BHK,,1450,3.0,1.0,65.0
3,1.0,Thubarahalli,2 BHK,,1200,2.0,2.0,78.0
3,1.0,Benson Town,3 BHK,,3200,4.0,,350.0
